Order ID,Order Number,Quantity,Price,Line Number,Sales,Status,Deal Size
1,10107,30,95.7,2,2871,Shipped,Small
2,10121,34,81.35,5,2765.9,Shipped,Small
3,10134,41,94.74,2,3884.34,Shipped,Medium
4,10145,45,83.26,6,3746.7,Shipped,Medium
5,10159,49,100,14,5205.27,Shipped,Medium
6,10168,36,96.66,1,3479.76,Shipped,Medium
7,10180,29,86.13,9,2497.77,Shipped,Small
8,10188,48,100,1,5512.32,Shipped,Medium
9,10201,22,98.57,2,2168.54,Shipped,Small
10,10211,41,100,14,4708.44,Shipped,Medium
11,10223,37,100,1,3965.66,Shipped,Medium
12,10237,23,100,7,2333.12,Shipped,Small
13,10251,28,100,2,3188.64,Shipped,Medium
14,10263,34,100,2,3676.76,Shipped,Medium
15,10275,45,92.83,1,4177.35,Shipped,Medium
16,10285,36,100,6,4099.68,Shipped,Medium
17,10299,23,100,9,2597.39,Shipped,Small
18,10309,41,100,5,4394.38,Shipped,Medium
19,10318,46,94.74,1,4358.04,Shipped,Medium
20,10329,42,100,1,4396.14,Shipped,Medium
21,10341,41,100,9,7737.93,Shipped,Large
22,10361,20,72.55,13,1451,Shipped,Small
23,10375,21,34.91,12,733.11,Shipped,Small
24,10388,42,76.36,4,3207.12,Shipped,Medium
25,10403,24,100,7,2434.56,Shipped,Small
26,10417,66,100,2,7516.08,Disputed,Large
27,10103,26,100,11,5404.62,Shipped,Medium
28,10112,29,100,1,7209.11,Shipped,Large
29,10126,38,100,11,7329.06,Shipped,Large
30,10140,37,100,11,7374.1,Shipped,Large
31,10150,45,100,8,10993.5,Shipped,Large
32,10163,21,100,1,4860.24,Shipped,Medium
33,10174,34,100,4,8014.82,Shipped,Large
34,10183,23,100,8,5372.57,Shipped,Medium
35,10194,42,100,11,7290.36,Shipped,Large
36,10206,47,100,6,9064.89,Shipped,Large
37,10215,35,100,3,6075.3,Shipped,Medium
38,10228,29,100,2,6463.23,Shipped,Medium
39,10245,34,100,9,6120.34,Shipped,Medium
40,10258,32,100,6,7680.64,Shipped,Large
41,10270,21,100,9,4905.39,Shipped,Medium
42,10280,34,100,2,8014.82,Shipped,Large
43,10291,37,100,11,7136.19,Shipped,Large
44,10304,47,100,6,10172.7,Shipped,Large
45,10312,48,100,3,11623.7,Shipped,Large
46,10322,40,100,1,6000.4,Shipped,Medium
47,10333,26,100,3,3003,Shipped,Medium
48,10347,30,100,1,3944.7,Shipped,Medium
49,10357,32,100,10,5691.84,Shipped,Medium
50,10369,41,100,2,4514.92,Shipped,Medium
51,10381,36,100,3,8254.8,Shipped,Large
52,10391,24,100,4,2416.56,Shipped,Small
53,10411,23,100,9,4140.23,Shipped,Medium
54,10424,50,100,6,12001,In Process,Large
55,10107,39,99.91,5,3896.49,Shipped,Medium
56,10120,29,96.34,3,2793.86,Shipped,Small
57,10134,27,100,5,3307.77,Shipped,Medium
58,10145,37,100,9,5192.95,Shipped,Medium
59,10159,37,100,17,5016.83,Shipped,Medium
60,10168,27,100,4,3660.93,Shipped,Medium
61,10180,42,100,12,4695.6,Shipped,Medium
62,10188,38,96.34,4,3660.92,Shipped,Medium
63,10201,24,100,5,3025.92,Shipped,Medium
64,10210,23,100,2,3009.09,Shipped,Medium
65,10223,47,100,4,5422.39,Shipped,Medium
66,10236,22,100,1,2852.08,Shipped,Small
67,10251,44,100,5,5756.52,Shipped,Medium
68,10263,40,100,5,4472,Shipped,Medium
69,10275,22,100,4,2904.44,Shipped,Small
70,10285,47,100,9,6484.59,Shipped,Medium
71,10298,39,96.34,1,3757.26,Shipped,Medium
72,10308,34,100,2,4043.96,Shipped,Medium
73,10318,45,100,4,5566.5,Shipped,Medium
74,10329,20,100,2,3176,Shipped,Medium
75,10339,40,68.92,4,2756.8,Shipped,Small
76,10361,26,51.15,8,1329.9,Shipped,Small
77,10374,39,100,5,5288.01,Shipped,Medium
78,10388,50,44.51,5,2225.5,Shipped,Small
79,10402,45,100,1,5833.8,Shipped,Medium
80,10417,45,100,5,5887.35,Disputed,Medium
81,10107,27,100,4,6065.55,Shipped,Medium
82,10120,46,100,2,9264.86,Shipped,Large
83,10134,31,100,4,7023.98,Shipped,Large
84,10145,33,100,8,5176.38,Shipped,Medium
85,10159,22,100,16,4132.7,Shipped,Medium
86,10168,20,100,3,4183,Shipped,Medium
87,10180,41,100,11,8892.9,Shipped,Large
88,10188,45,100,3,8714.7,Shipped,Large
89,10201,49,100,4,8065.89,Shipped,Large
90,10210,34,100,1,6123.4,Shipped,Medium
91,10223,49,100,3,9774.03,Shipped,Large
92,10237,39,100,9,7023.9,Shipped,Large
93,10251,43,100,4,7078.23,Shipped,Large
94,10263,41,100,4,8336.94,Shipped,Large
95,10275,36,100,3,6901.92,Shipped,Medium
96,10285,27,100,8,5438.07,Shipped,Medium
97,10299,29,100,11,6683.34,Shipped,Medium
98,10308,20,100,1,4570.4,Shipped,Medium
99,10318,37,100,3,7667.14,Shipped,Large
100,10329,26,100,3,5868.2,Shipped,Medium
101,10339,39,76.67,3,2990.13,Shipped,Small
102,10362,22,100,4,3664.1,Shipped,Medium
103,10374,22,100,1,3834.38,Shipped,Medium
104,10388,21,86.77,7,1822.17,Shipped,Small
105,10403,66,100,9,11886.6,Shipped,Large
106,10417,56,100,4,9218.16,Disputed,Large
107,10105,50,100,2,7208,Shipped,Large
108,10119,46,100,11,5004.8,Shipped,Medium
109,10129,33,100,2,4398.24,Shipped,Medium
110,10143,49,100,15,5597.76,Shipped,Medium
111,10155,32,100,13,4526.08,Shipped,Medium
112,10167,44,100,9,5924.16,Cancelled,Medium
113,10178,24,100,12,3492.48,Shipped,Medium
114,10186,26,100,9,3854.24,Shipped,Medium
115,10197,45,100,6,5324.4,Shipped,Medium
116,10209,39,100,8,5197.92,Shipped,Medium
117,10222,49,100,12,5997.6,Shipped,Medium
118,10248,20,100,3,2910.4,Cancelled,Small
119,10261,27,100,1,3378.24,Shipped,Medium
120,10273,30,100,4,3508.8,Shipped,Medium
121,10283,25,100,6,2992,Shipped,Small
122,10295,24,100,1,3427.2,Shipped,Medium
123,10307,22,100,9,2692.8,Shipped,Small
124,10316,33,100,17,4128.96,Shipped,Medium
125,10325,47,64.93,6,3051.71,Shipped,Medium
126,10337,25,48.05,8,1201.25,Shipped,Small
127,10350,26,75.47,5,1962.22,Shipped,Small
128,10359,48,54.68,6,2624.64,Shipped,Small
129,10373,39,100,3,4046.25,Shipped,Medium
130,10384,34,100,4,4846.7,Shipped,Medium
131,10395,32,100,2,3370.56,Shipped,Medium
132,10400,64,100,9,9661.44,Shipped,Large
133,10414,19,100,3,2764.88,On Hold,Small
134,10103,42,100,4,5398.26,Shipped,Medium
135,10114,31,100,8,4305.28,Shipped,Medium
136,10126,22,100,4,3347.74,Shipped,Medium
137,10140,26,100,4,3188.12,Shipped,Medium
138,10150,20,100,1,3191.2,Shipped,Medium
139,10164,21,100,2,3536.82,Resolved,Medium
140,10175,33,100,9,5362.83,Shipped,Medium
141,10183,28,100,1,3433.36,Shipped,Medium
142,10194,26,100,4,4263.74,Shipped,Medium
